('N-CONV', 'sat', 'subst', '-') 144
('N-CONV', 'unsat', 'subst', '-') 144
('N-CONV17', 'sat', 'nosub', '-') 144
('N-CONV17', 'unsat', 'nosub', '-') 144
('N-CONVL', 'sat', 'subst', '-') 144
('N-CONVL', 'unsat', 'subst', '-') 144
('N-ELL144', 'sat', 'subst', 'T5') 144
('N-ELL144', 'unsat', 'subst', 'T5') 144
('NELL-A20', 'unsat', 'subst', 'T5') 20
('NULL-AFF62', 'unsat', 'nosub', '-') 62
('NULL-F262', 'unsat', 'nosub', '-') 62
('S3-C20', 'unsat', 'subst', '-') 20
('S3-S62', 'sat', 'subst', '-') 62
('S3-U62', 'unsat', 'subst', '-') 62
T4 total 1028 T5 total 308
