degree profile (deg, terms): [(3, 51), (3, 60), (3, 59), (3, 67), (3, 70), (3, 98), (3, 83), (3, 105), (3, 87), (3, 75), (3, 62), (3, 56), (2, 29), (2, 23), (2, 25), (2, 14), (2, 35), (2, 24), (2, 23), (2, 39), (2, 26), (2, 50), (2, 36), (2, 50)]

seed   D    rows     rank     koszul   cum.def   graded
7      2    12       12       0        0         0
7      3    312      312      0        0         0
7      4    3912     3834     78       0         0
11     2    12       12       0        0         0
11     3    312      312      0        0         0
11     4    3912     3834     78       0         0
13     2    12       12       0        0         0
13     3    312      312      0        0         0
13     4    3912     3834     78       0         0
17     2    12       12       0        0         0
17     3    312      312      0        0         0
17     4    3912     3834     78       0         0
19     2    12       12       0        0         0
19     3    312      312      0        0         0
19     4    3912     3834     78       0         0
