p,a,b,j,trace,order,aut_order,fb_m2,fb_m3,n_targets,hits_m2,hits_m3,order,full_liftable,liftable_density_W125,liftable_density_W250,liftable_density_W500,liftable_density_W1000,liftable_density_W2000,liftable_density_W4001,two_torsion_x,sumset_m2,sumset_m3,sumset_eff_m2,sumset_eff_m3,decomp_rate_m2,decomp_rate_m3,decomp_efficiency_m2,decomp_efficiency_m3,s3_support,liftable_identity_holds
4001,1257,2514,9,72,3930,2,40,13,400,213,210,3930,1965,0.504,0.496,0.472,0.482,0.4865,0.49112721819545113,1,2220,2088,0.6851851851851852,0.6373626373626373,0.5325,0.525,0.6459027777777777,0.6298076923076923,13,True
4001,3229,819,23,72,3930,2,40,13,400,192,223,3930,1965,0.544,0.524,0.514,0.519,0.485,0.49112721819545113,1,2125,2032,0.6558641975308642,0.6202686202686203,0.48,0.5575,0.5822222222222222,0.6687957875457875,13,True
4001,3294,2587,55,72,3930,2,40,13,400,237,199,3930,1965,0.576,0.54,0.51,0.515,0.4915,0.49112721819545113,1,2207,2008,0.6811728395061728,0.612942612942613,0.5925,0.4975,0.7186805555555555,0.5968177655677656,13,True
4001,1229,2153,113,72,3930,2,40,13,400,234,222,3930,1965,0.432,0.476,0.474,0.481,0.4825,0.49112721819545113,1,2264,2081,0.6987654320987654,0.6352258852258852,0.585,0.555,0.7095833333333332,0.6657967032967034,13,True
4001,1854,3708,210,72,3930,2,40,13,400,196,218,3930,1965,0.472,0.456,0.484,0.49,0.4835,0.49112721819545113,1,2149,2136,0.6632716049382716,0.652014652014652,0.49,0.545,0.5943518518518519,0.6538003663003664,13,True
4001,1147,2294,216,72,3930,2,40,13,400,226,202,3930,1965,0.416,0.46,0.478,0.486,0.485,0.49112721819545113,1,2220,2048,0.6851851851851852,0.6251526251526252,0.565,0.505,0.685324074074074,0.6058150183150184,13,True
4001,2216,2811,276,72,3930,2,40,13,400,231,202,3930,1965,0.432,0.456,0.47,0.476,0.4765,0.49112721819545113,1,2263,2022,0.6984567901234567,0.6172161172161172,0.5775,0.505,0.7004861111111111,0.6058150183150184,13,True
4001,988,3326,342,72,3930,2,40,13,400,240,207,3930,1965,0.496,0.532,0.506,0.499,0.497,0.49112721819545113,1,2226,2107,0.687037037037037,0.6431623931623932,0.6,0.5175,0.7277777777777777,0.6208104395604395,13,True
4001,3885,2590,393,72,3930,2,40,13,400,230,195,3930,1965,0.52,0.472,0.508,0.51,0.489,0.49112721819545113,1,2237,1797,0.6904320987654321,0.5485347985347986,0.575,0.4875,0.6974537037037037,0.5848214285714286,13,True
4001,2615,1229,411,72,3930,2,40,13,400,237,225,3930,1965,0.48,0.464,0.494,0.493,0.5035,0.49112721819545113,1,2254,2194,0.695679012345679,0.6697191697191697,0.5925,0.5625,0.7186805555555555,0.6747939560439561,13,True
4001,1181,2121,426,72,3930,2,40,13,400,229,215,3930,1965,0.472,0.504,0.52,0.506,0.494,0.49112721819545113,1,2201,2126,0.679320987654321,0.648962148962149,0.5725,0.5375,0.6944212962962963,0.6448031135531136,13,True
4001,3392,2783,447,72,3930,2,40,13,400,228,206,3930,1965,0.52,0.488,0.458,0.479,0.4905,0.49112721819545113,1,2222,2095,0.6858024691358025,0.6394993894993894,0.57,0.515,0.6913888888888888,0.6178113553113553,13,True
4001,1987,3992,507,72,3930,2,40,13,400,221,180,3930,1965,0.512,0.5,0.48,0.476,0.4915,0.49112721819545113,1,2248,1800,0.6938271604938272,0.5494505494505495,0.5525,0.45,0.670162037037037,0.5398351648351648,13,True
4001,293,1529,521,72,3930,2,40,13,400,221,232,3930,1965,0.48,0.52,0.52,0.491,0.4815,0.49112721819545113,1,2230,2161,0.6882716049382716,0.6596459096459096,0.5525,0.58,0.670162037037037,0.6957875457875456,13,True
4001,278,1519,542,72,3930,2,40,13,400,228,205,3930,1965,0.416,0.468,0.47,0.494,0.504,0.49112721819545113,1,2257,2027,0.696604938271605,0.6187423687423688,0.57,0.5125,0.6913888888888888,0.614812271062271,13,True
4001,3507,2338,557,72,3930,2,40,13,400,237,212,3930,1965,0.496,0.516,0.496,0.486,0.4885,0.49112721819545113,1,2224,2180,0.6864197530864198,0.6654456654456654,0.5925,0.53,0.7186805555555555,0.6358058608058609,13,True
4001,1370,2247,579,72,3930,2,40,13,400,222,223,3930,1965,0.512,0.468,0.446,0.462,0.4805,0.49112721819545113,1,2236,2214,0.6901234567901234,0.6758241758241759,0.555,0.5575,0.6731944444444444,0.6687957875457875,13,True
4001,1764,1176,645,72,3930,2,40,13,400,233,197,3930,1965,0.44,0.464,0.466,0.477,0.48,0.49112721819545113,1,2229,2037,0.687962962962963,0.6217948717948718,0.5825,0.4925,0.7065509259259259,0.5908195970695971,13,True
4001,2793,1585,741,72,3930,2,40,13,400,222,218,3930,1965,0.536,0.492,0.478,0.477,0.475,0.49112721819545113,1,2232,1944,0.6888888888888889,0.5934065934065934,0.555,0.545,0.6731944444444444,0.6538003663003664,13,True
4001,21,42,756,72,3930,2,40,13,400,213,214,3930,1965,0.448,0.444,0.45,0.475,0.4865,0.49112721819545113,1,2247,2188,0.6935185185185185,0.6678876678876678,0.5325,0.535,0.6459027777777777,0.6418040293040294,13,True
4001,2359,717,813,72,3930,2,40,13,400,240,232,3930,1965,0.44,0.408,0.448,0.456,0.48,0.49112721819545113,1,2257,2264,0.696604938271605,0.6910866910866911,0.6,0.58,0.7277777777777777,0.6957875457875456,13,True
4001,1636,3272,906,72,3930,2,40,13,400,206,216,3930,1965,0.568,0.548,0.518,0.513,0.4955,0.49112721819545113,1,2220,2016,0.6851851851851852,0.6153846153846154,0.515,0.54,0.6246759259259259,0.6478021978021978,13,True
4001,1049,2033,932,72,3930,2,40,13,400,216,215,3930,1965,0.496,0.456,0.456,0.472,0.4885,0.49112721819545113,1,2199,2196,0.6787037037037037,0.6703296703296703,0.54,0.5375,0.6550000000000001,0.6448031135531136,13,True
4001,2165,2777,1076,72,3930,2,40,13,400,211,218,3930,1965,0.536,0.56,0.506,0.506,0.4915,0.49112721819545113,1,2183,2132,0.6737654320987654,0.6507936507936508,0.5275,0.545,0.6398379629629629,0.6538003663003664,13,True
4001,1347,898,1084,72,3930,2,40,13,400,219,228,3930,1965,0.496,0.476,0.516,0.516,0.4935,0.49112721819545113,1,2196,2147,0.6777777777777778,0.6553724053724054,0.5475,0.57,0.6640972222222221,0.6837912087912088,13,True
4001,2621,1241,1106,72,3930,2,40,13,400,242,211,3930,1965,0.488,0.488,0.494,0.489,0.4975,0.49112721819545113,1,2234,2034,0.6895061728395062,0.6208791208791209,0.605,0.5275,0.7338425925925927,0.6328067765567765,13,True
4001,2807,1613,1192,72,3930,2,40,13,400,233,209,3930,1965,0.512,0.516,0.488,0.482,0.4915,0.49112721819545113,1,2271,2107,0.700925925925926,0.6431623931623932,0.5825,0.5225,0.7065509259259259,0.6268086080586079,13,True
4001,2095,189,1344,72,3930,2,40,13,400,221,208,3930,1965,0.504,0.48,0.512,0.498,0.5,0.49112721819545113,1,2180,2037,0.6728395061728395,0.6217948717948718,0.5525,0.52,0.670162037037037,0.6238095238095238,13,True
4001,1581,1054,1361,72,3930,2,40,13,400,216,212,3930,1965,0.496,0.524,0.492,0.496,0.489,0.49112721819545113,1,2188,2029,0.6753086419753086,0.6193528693528694,0.54,0.53,0.6550000000000001,0.6358058608058609,13,True
4001,2645,1289,1447,72,3930,2,40,13,400,248,222,3930,1965,0.496,0.504,0.518,0.498,0.4945,0.49112721819545113,1,2234,2135,0.6895061728395062,0.6517094017094017,0.62,0.555,0.7520370370370371,0.6657967032967034,13,True
4001,692,1795,1686,72,3930,2,40,13,400,212,210,3930,1965,0.48,0.496,0.442,0.453,0.4715,0.49112721819545113,1,2194,2151,0.6771604938271605,0.6565934065934066,0.53,0.525,0.6428703703703704,0.6298076923076923,13,True
4001,2522,1043,1694,72,3930,2,40,13,400,213,216,3930,1965,0.472,0.48,0.488,0.487,0.4875,0.49112721819545113,1,2307,2118,0.712037037037037,0.6465201465201466,0.5325,0.54,0.6459027777777777,0.6478021978021978,13,True
4001,1483,2966,1713,72,3930,2,40,13,400,244,194,3930,1965,0.496,0.472,0.49,0.492,0.489,0.49112721819545113,1,2241,2008,0.6916666666666667,0.612942612942613,0.61,0.485,0.7399074074074073,0.5818223443223443,13,True
4001,3171,2114,1802,72,3930,2,40,13,400,224,225,3930,1965,0.464,0.48,0.46,0.478,0.4795,0.49112721819545113,1,2180,2220,0.6728395061728395,0.6776556776556777,0.56,0.5625,0.6792592592592593,0.6747939560439561,13,True
4001,1410,2820,1896,72,3930,2,40,13,400,236,184,3930,1965,0.44,0.472,0.49,0.513,0.498,0.49112721819545113,1,2236,1942,0.6901234567901234,0.5927960927960928,0.59,0.46,0.7156481481481481,0.5518315018315019,13,True
4001,1459,2918,1912,72,3930,2,40,13,400,224,208,3930,1965,0.528,0.516,0.528,0.514,0.4985,0.49112721819545113,1,2166,2095,0.6685185185185185,0.6394993894993894,0.56,0.52,0.6792592592592593,0.6238095238095238,13,True
4001,3712,1141,1914,72,3930,2,40,13,400,236,227,3930,1965,0.52,0.536,0.526,0.514,0.4935,0.49112721819545113,1,2194,2153,0.6771604938271605,0.6572039072039072,0.59,0.5675,0.7156481481481481,0.6807921245421246,13,True
4001,1062,708,1926,72,3930,2,40,13,400,219,187,3930,1965,0.512,0.516,0.498,0.487,0.503,0.49112721819545113,1,2276,1936,0.7024691358024692,0.590964590964591,0.5475,0.4675,0.6640972222222221,0.5608287545787546,13,True
4001,881,1762,1941,72,3930,2,40,13,400,217,233,3930,1965,0.392,0.432,0.464,0.48,0.4945,0.49112721819545113,1,2222,2164,0.6858024691358025,0.6605616605616605,0.5425,0.5825,0.6580324074074074,0.69878663003663,13,True
4001,2174,2783,2152,72,3930,2,40,13,400,247,193,3930,1965,0.44,0.44,0.464,0.498,0.507,0.49112721819545113,1,2268,1898,0.7,0.5793650793650794,0.6175,0.4825,0.7490046296296297,0.57882326007326,13,True
4001,3866,3731,2160,72,3930,2,40,13,400,208,196,3930,1965,0.464,0.516,0.512,0.497,0.4955,0.49112721819545113,1,2230,2092,0.6882716049382716,0.6385836385836385,0.52,0.49,0.6307407407407408,0.5878205128205128,13,True
4001,3553,3105,2314,72,3930,2,40,13,400,231,208,3930,1965,0.584,0.524,0.528,0.494,0.486,0.49112721819545113,1,2230,2106,0.6882716049382716,0.6428571428571429,0.5775,0.52,0.7004861111111111,0.6238095238095238,13,True
4001,2039,77,2329,72,3930,2,40,13,400,211,193,3930,1965,0.44,0.468,0.492,0.491,0.4855,0.49112721819545113,1,2142,1966,0.6611111111111111,0.6001221001221001,0.5275,0.4825,0.6398379629629629,0.57882326007326,13,True
4001,768,512,2344,72,3930,2,40,13,400,219,228,3930,1965,0.52,0.46,0.45,0.48,0.496,0.49112721819545113,1,2174,2128,0.6709876543209876,0.6495726495726496,0.5475,0.57,0.6640972222222221,0.6837912087912088,13,True
4001,2507,1013,2398,72,3930,2,40,13,400,233,224,3930,1965,0.6,0.5,0.5,0.501,0.494,0.49112721819545113,1,2242,2267,0.6919753086419753,0.692002442002442,0.5825,0.56,0.7065509259259259,0.6717948717948719,13,True
4001,3272,2543,2410,72,3930,2,40,13,400,223,205,3930,1965,0.536,0.5,0.48,0.477,0.495,0.49112721819545113,1,2141,2083,0.6608024691358024,0.6358363858363858,0.5575,0.5125,0.6762268518518518,0.614812271062271,13,True
4001,2421,841,2415,72,3930,2,40,13,400,223,199,3930,1965,0.52,0.46,0.47,0.476,0.4935,0.49112721819545113,1,2166,1881,0.6685185185185185,0.5741758241758241,0.5575,0.4975,0.6762268518518518,0.5968177655677656,13,True
4001,2508,1015,2524,72,3930,2,40,13,400,236,218,3930,1965,0.528,0.484,0.496,0.487,0.485,0.49112721819545113,1,2274,2189,0.7018518518518518,0.6681929181929182,0.59,0.545,0.7156481481481481,0.6538003663003664,13,True
4001,342,684,2675,72,3930,2,40,13,400,220,220,3930,1965,0.512,0.524,0.518,0.505,0.499,0.49112721819545113,1,2216,2100,0.6839506172839506,0.6410256410256411,0.55,0.55,0.6671296296296296,0.6597985347985348,13,True
4001,891,594,2850,72,3930,2,40,13,400,215,203,3930,1965,0.456,0.472,0.494,0.501,0.4865,0.49112721819545113,1,2225,2148,0.6867283950617284,0.6556776556776557,0.5375,0.5075,0.6519675925925926,0.6088141025641025,13,True
4001,1881,1254,2923,72,3930,2,40,13,400,229,225,3930,1965,0.48,0.456,0.462,0.463,0.489,0.49112721819545113,1,2241,2238,0.6916666666666667,0.6831501831501832,0.5725,0.5625,0.6944212962962963,0.6747939560439561,13,True
4001,999,1998,2946,72,3930,2,40,13,400,216,200,3930,1965,0.504,0.532,0.516,0.494,0.496,0.49112721819545113,1,2174,2072,0.6709876543209876,0.6324786324786325,0.54,0.5,0.6550000000000001,0.5998168498168498,13,True
4001,1170,780,3105,72,3930,2,40,13,400,220,177,3930,1965,0.44,0.496,0.48,0.486,0.4875,0.49112721819545113,1,2173,2005,0.6706790123456791,0.6120268620268621,0.55,0.4425,0.6671296296296296,0.5308379120879121,13,True
4001,765,1530,3124,72,3930,2,40,13,400,205,210,3930,1965,0.48,0.5,0.512,0.5,0.4965,0.49112721819545113,1,2206,2120,0.6808641975308642,0.6471306471306472,0.5125,0.525,0.6216435185185184,0.6298076923076923,13,True
4001,286,572,3164,72,3930,2,40,13,400,229,213,3930,1965,0.544,0.488,0.504,0.493,0.4825,0.49112721819545113,1,2198,2064,0.678395061728395,0.63003663003663,0.5725,0.5325,0.6944212962962963,0.638804945054945,13,True
4001,3845,3897,3174,72,3930,2,40,13,400,220,233,3930,1965,0.528,0.5,0.504,0.494,0.4965,0.49112721819545113,1,2182,2254,0.6734567901234568,0.688034188034188,0.55,0.5825,0.6671296296296296,0.69878663003663,13,True
4001,1818,1212,3228,72,3930,2,40,13,400,236,198,3930,1965,0.536,0.54,0.502,0.498,0.502,0.49112721819545113,1,2210,2125,0.6820987654320988,0.6486568986568987,0.59,0.495,0.7156481481481481,0.5938186813186813,13,True
4001,529,1058,3256,72,3930,2,40,13,400,220,219,3930,1965,0.504,0.472,0.494,0.496,0.5015,0.49112721819545113,1,2207,2132,0.6811728395061728,0.6507936507936508,0.55,0.5475,0.6671296296296296,0.6567994505494504,13,True
4001,3631,1087,3312,72,3930,2,40,13,400,213,219,3930,1965,0.608,0.552,0.518,0.508,0.501,0.49112721819545113,1,2148,2192,0.662962962962963,0.6691086691086691,0.5325,0.5475,0.6459027777777777,0.6567994505494504,13,True
4001,888,1776,3343,72,3930,2,40,13,400,218,209,3930,1965,0.528,0.508,0.516,0.499,0.49,0.49112721819545113,1,2168,2052,0.6691358024691358,0.6263736263736264,0.545,0.5225,0.6610648148148149,0.6268086080586079,13,True
4001,1480,3654,3408,72,3930,2,40,13,400,231,195,3930,1965,0.536,0.504,0.512,0.498,0.501,0.49112721819545113,1,2274,1989,0.7018518518518518,0.6071428571428571,0.5775,0.4875,0.7004861111111111,0.5848214285714286,13,True
4001,2931,1954,3469,72,3930,2,40,13,400,235,228,3930,1965,0.488,0.508,0.478,0.465,0.476,0.49112721819545113,1,2227,2209,0.6873456790123457,0.6742979242979243,0.5875,0.57,0.7126157407407407,0.6837912087912088,13,True
4001,1021,2042,3516,72,3930,2,40,13,400,230,203,3930,1965,0.488,0.472,0.472,0.476,0.4805,0.49112721819545113,1,2270,2024,0.7006172839506173,0.6178266178266179,0.575,0.5075,0.6974537037037037,0.6088141025641025,13,True
