p,a,b,j,trace,order,aut_order,fb_m2,fb_m3,n_targets,hits_m2,hits_m3,order,full_liftable,liftable_density_W187,liftable_density_W375,liftable_density_W750,liftable_density_W1501,liftable_density_W3003,liftable_density_W6007,two_torsion_x,sumset_m2,sumset_m3,sumset_eff_m2,sumset_eff_m3,decomp_rate_m2,decomp_rate_m3,decomp_efficiency_m2,decomp_efficiency_m3,s3_support,liftable_identity_holds
6007,4556,1035,39,8,6000,2,40,13,400,154,164,6000,3001,0.5080213903743316,0.49066666666666664,0.48,0.4943371085942705,0.5044955044955045,0.4995838188779757,3,2560,2402,0.7901234567901234,0.7332112332112332,0.385,0.41,0.7129629629629629,0.7509157509157509,13,True
6007,5040,4073,65,8,6000,2,40,13,400,161,162,6000,3000,0.4919786096256685,0.49866666666666665,0.49333333333333335,0.5089940039973351,0.5054945054945055,0.49941734642916596,1,2520,2338,0.7777777777777778,0.7136752136752137,0.4025,0.405,0.7453703703703703,0.7417582417582418,13,True
6007,5941,5963,94,8,6000,2,40,13,400,175,173,6000,3000,0.49732620320855614,0.5093333333333333,0.49733333333333335,0.48500999333777484,0.48484848484848486,0.49941734642916596,1,2462,2442,0.7598765432098765,0.7454212454212454,0.4375,0.4325,0.8101851851851852,0.7921245421245421,13,True
6007,1276,2853,113,8,6000,2,40,13,400,170,141,6000,3000,0.48663101604278075,0.4746666666666667,0.49466666666666664,0.4983344437041972,0.5001665001665002,0.49941734642916596,1,2504,2432,0.7728395061728395,0.7423687423687424,0.425,0.3525,0.7870370370370371,0.6456043956043956,13,True
6007,4706,1135,140,8,6000,2,40,13,400,174,151,6000,3001,0.48128342245989303,0.512,0.5013333333333333,0.4876748834110593,0.49517149517149517,0.4995838188779757,3,2520,2446,0.7777777777777778,0.7466422466422467,0.435,0.3775,0.8055555555555556,0.6913919413919414,13,True
6007,3794,1581,205,8,6000,2,40,13,400,153,151,6000,3000,0.5508021390374331,0.512,0.5093333333333333,0.49566955363091275,0.5031635031635031,0.49941734642916596,1,2512,2362,0.7753086419753087,0.721001221001221,0.3825,0.3775,0.7083333333333334,0.6913919413919414,13,True
6007,1300,2869,258,8,6000,2,40,13,400,167,148,6000,3000,0.5614973262032086,0.5146666666666667,0.52,0.5143237841439041,0.5008325008325009,0.49941734642916596,1,2458,2262,0.758641975308642,0.6904761904761905,0.4175,0.37,0.7731481481481481,0.6776556776556777,13,True
6007,5212,4417,287,8,6000,2,40,13,400,173,144,6000,3000,0.4919786096256685,0.4746666666666667,0.4866666666666667,0.4770153231179214,0.49184149184149184,0.49941734642916596,1,2496,2344,0.7703703703703704,0.7155067155067155,0.4325,0.36,0.8009259259259259,0.6593406593406593,13,True
6007,3542,1077,323,8,6000,2,40,13,400,159,161,6000,3001,0.5401069518716578,0.5253333333333333,0.516,0.5236508994003998,0.5078255078255078,0.4995838188779757,3,2459,2525,0.7589506172839506,0.7707570207570208,0.3975,0.4025,0.7361111111111112,0.7371794871794872,13,True
6007,4720,3433,392,8,6000,2,40,13,400,168,184,6000,3001,0.4385026737967914,0.456,0.488,0.5043304463690873,0.49716949716949715,0.4995838188779757,3,2499,2364,0.7712962962962963,0.7216117216117216,0.42,0.46,0.7777777777777778,0.8424908424908425,13,True
6007,4049,697,434,8,6000,2,40,13,400,173,163,6000,3000,0.44385026737967914,0.5093333333333333,0.5253333333333333,0.4990006662225183,0.49716949716949715,0.49941734642916596,1,2493,2504,0.7694444444444445,0.7643467643467643,0.4325,0.4075,0.8009259259259259,0.7463369963369964,13,True
6007,1680,1120,440,8,6000,2,40,13,400,161,143,6000,3000,0.5240641711229946,0.49066666666666664,0.48533333333333334,0.480346435709527,0.4935064935064935,0.49941734642916596,1,2478,2194,0.7648148148148148,0.6697191697191697,0.4025,0.3575,0.7453703703703703,0.6547619047619048,13,True
6007,461,4312,474,8,6000,2,40,13,400,174,157,6000,3000,0.49732620320855614,0.48533333333333334,0.4826666666666667,0.49633577614923385,0.5018315018315018,0.49941734642916596,1,2501,2418,0.7719135802469136,0.7380952380952381,0.435,0.3925,0.8055555555555556,0.7188644688644689,13,True
6007,876,584,492,8,6000,2,40,13,400,160,194,6000,3000,0.43315508021390375,0.4746666666666667,0.47333333333333333,0.480346435709527,0.4931734931734932,0.49941734642916596,1,2506,2463,0.7734567901234568,0.7518315018315018,0.4,0.485,0.7407407407407407,0.8882783882783882,13,True
6007,4453,2899,602,8,6000,2,40,13,400,154,167,6000,3000,0.5508021390374331,0.5146666666666667,0.5,0.48967355096602266,0.5008325008325009,0.49941734642916596,1,2448,2539,0.7555555555555555,0.775030525030525,0.385,0.4175,0.7129629629629629,0.7646520146520146,13,True
6007,5003,1333,659,8,6000,2,40,13,400,164,146,6000,3001,0.5240641711229946,0.536,0.49066666666666664,0.491672218520986,0.4901764901764902,0.4995838188779757,3,2426,2392,0.7487654320987654,0.7301587301587301,0.41,0.365,0.7592592592592593,0.6684981684981685,13,True
6007,5173,5451,715,8,6000,2,40,13,400,170,165,6000,3000,0.48663101604278075,0.5093333333333333,0.5,0.5069953364423717,0.5031635031635031,0.49941734642916596,1,2487,2409,0.7675925925925926,0.7353479853479854,0.425,0.4125,0.7870370370370371,0.7554945054945055,13,True
6007,1764,3528,736,8,6000,2,40,13,400,168,157,6000,3000,0.5561497326203209,0.5333333333333333,0.5226666666666666,0.508327781479014,0.5008325008325009,0.49941734642916596,1,2470,2376,0.7623456790123457,0.7252747252747253,0.42,0.3925,0.7777777777777778,0.7188644688644689,13,True
6007,241,482,747,8,6000,2,40,13,400,163,141,6000,3000,0.5133689839572193,0.5226666666666666,0.508,0.508327781479014,0.49916749916749914,0.49941734642916596,1,2536,2300,0.782716049382716,0.702075702075702,0.4075,0.3525,0.7546296296296297,0.6456043956043956,13,True
6007,1369,2915,761,8,6000,2,40,13,400,180,140,6000,3001,0.5187165775401069,0.488,0.484,0.49766822118587606,0.4961704961704962,0.4995838188779757,3,2470,2297,0.7623456790123457,0.7011599511599511,0.45,0.35,0.8333333333333334,0.6410256410256411,13,True
6007,4319,877,904,8,6000,2,40,13,400,182,153,6000,3001,0.45454545454545453,0.512,0.496,0.502998001332445,0.5044955044955045,0.4995838188779757,3,2469,2266,0.7620370370370371,0.6916971916971917,0.455,0.3825,0.8425925925925926,0.7005494505494505,13,True
6007,1555,3039,915,8,6000,2,40,13,400,155,145,6000,3000,0.47593582887700536,0.5173333333333333,0.49733333333333335,0.49300466355762823,0.5038295038295039,0.49941734642916596,1,2438,2178,0.7524691358024691,0.6648351648351648,0.3875,0.3625,0.7175925925925926,0.6639194139194139,13,True
6007,4842,3677,1030,8,6000,2,40,13,400,184,185,6000,3001,0.47593582887700536,0.4666666666666667,0.4653333333333333,0.49300466355762823,0.5001665001665002,0.4995838188779757,3,2478,2472,0.7648148148148148,0.7545787545787546,0.46,0.4625,0.8518518518518519,0.8470695970695971,13,True
6007,4565,3123,1069,8,6000,2,40,13,400,156,178,6000,3001,0.5080213903743316,0.4666666666666667,0.476,0.4990006662225183,0.48684648684648685,0.4995838188779757,3,2561,2315,0.7904320987654321,0.7066544566544567,0.39,0.445,0.7222222222222222,0.815018315018315,13,True
6007,553,1106,1109,8,6000,2,40,13,400,180,146,6000,3001,0.5454545454545454,0.52,0.5186666666666667,0.5243171219187208,0.5081585081585082,0.4995838188779757,3,2506,2224,0.7734567901234568,0.6788766788766789,0.45,0.365,0.8333333333333334,0.6684981684981685,13,True
6007,4796,3585,1118,8,6000,2,40,13,400,173,151,6000,3000,0.5133689839572193,0.5306666666666666,0.5306666666666666,0.508327781479014,0.5074925074925075,0.49941734642916596,1,2528,2272,0.7802469135802469,0.6935286935286935,0.4325,0.3775,0.8009259259259259,0.6913919413919414,13,True
6007,4515,3023,1194,8,6000,2,40,13,400,157,135,6000,3001,0.5133689839572193,0.496,0.48533333333333334,0.4983344437041972,0.4958374958374958,0.4995838188779757,3,2486,2120,0.7672839506172839,0.6471306471306472,0.3925,0.3375,0.7268518518518519,0.6181318681318682,13,True
6007,4485,2990,1245,8,6000,2,40,13,400,192,230,6000,3001,0.5721925133689839,0.5226666666666666,0.508,0.5063291139240507,0.49716949716949715,0.4995838188779757,3,2488,2234,0.7679012345679013,0.681929181929182,0.48,0.575,0.8888888888888888,1.053113553113553,13,True
6007,2383,4766,1255,8,6000,2,40,13,400,168,152,6000,3001,0.49732620320855614,0.5066666666666667,0.504,0.5096602265156562,0.5004995004995005,0.4995838188779757,3,2489,2317,0.7682098765432098,0.7072649572649573,0.42,0.38,0.7777777777777778,0.6959706959706959,13,True
6007,5512,5677,1299,8,6000,2,40,13,400,172,155,6000,3000,0.5508021390374331,0.528,0.536,0.5176548967355097,0.5068265068265069,0.49941734642916596,1,2510,2218,0.7746913580246914,0.6770451770451771,0.43,0.3875,0.7962962962962963,0.7097069597069597,13,True
6007,1756,3512,1466,8,6000,2,40,13,400,164,147,6000,3001,0.5026737967914439,0.512,0.49733333333333335,0.49100599600266487,0.49983349983349984,0.4995838188779757,3,2500,2430,0.7716049382716049,0.7417582417582418,0.41,0.3675,0.7592592592592593,0.6730769230769231,13,True
6007,3020,33,1484,8,6000,2,40,13,400,158,165,6000,3001,0.47593582887700536,0.49866666666666665,0.4826666666666667,0.49566955363091275,0.49517149517149517,0.4995838188779757,3,2451,2398,0.7564814814814815,0.7319902319902319,0.395,0.4125,0.7314814814814815,0.7554945054945055,13,True
6007,3304,601,1503,8,6000,2,40,13,400,165,132,6000,3000,0.5561497326203209,0.5093333333333333,0.528,0.5156562291805463,0.5074925074925075,0.49941734642916596,1,2516,2166,0.7765432098765432,0.6611721611721612,0.4125,0.33,0.7638888888888888,0.6043956043956044,13,True
6007,4651,5103,1572,8,6000,2,40,13,400,170,170,6000,3001,0.47058823529411764,0.49333333333333335,0.48533333333333334,0.4936708860759494,0.5028305028305028,0.4995838188779757,3,2501,2384,0.7719135802469136,0.7277167277167277,0.425,0.425,0.7870370370370371,0.7783882783882784,13,True
6007,405,810,1620,8,6000,2,40,13,400,166,124,6000,3001,0.5614973262032086,0.5306666666666666,0.5226666666666666,0.5123251165889408,0.5021645021645021,0.4995838188779757,3,2537,2433,0.7830246913580247,0.7426739926739927,0.415,0.31,0.7685185185185185,0.5677655677655677,13,True
6007,1364,2728,1634,8,6000,2,40,13,400,181,150,6000,3000,0.5401069518716578,0.5333333333333333,0.508,0.49100599600266487,0.5068265068265069,0.49941734642916596,1,2443,2258,0.7540123456790123,0.6892551892551892,0.4525,0.375,0.8379629629629629,0.6868131868131868,13,True
6007,2108,5410,1754,8,6000,2,40,13,400,150,164,6000,3001,0.48663101604278075,0.496,0.5133333333333333,0.5063291139240507,0.49916749916749914,0.4995838188779757,3,2518,2423,0.7771604938271605,0.7396214896214897,0.375,0.41,0.6944444444444444,0.7509157509157509,13,True
6007,1,2,1778,8,6000,2,40,13,400,177,127,6000,3001,0.5240641711229946,0.5226666666666666,0.5133333333333333,0.5109926715522984,0.5014985014985015,0.4995838188779757,3,2487,2046,0.7675925925925926,0.6245421245421245,0.4425,0.3175,0.8194444444444444,0.5815018315018315,13,True
6007,4226,815,1812,8,6000,2,40,13,400,158,167,6000,3001,0.48663101604278075,0.512,0.512,0.4996668887408394,0.49184149184149184,0.4995838188779757,3,2451,2318,0.7564814814814815,0.7075702075702076,0.395,0.4175,0.7314814814814815,0.7646520146520146,13,True
6007,5749,5835,1819,8,6000,2,40,13,400,175,151,6000,3000,0.49732620320855614,0.4826666666666667,0.492,0.4836775483011326,0.49217449217449216,0.49941734642916596,1,2558,2244,0.7895061728395062,0.684981684981685,0.4375,0.3775,0.8101851851851852,0.6913919413919414,13,True
6007,2773,3851,1830,8,6000,2,40,13,400,215,157,6000,3001,0.5508021390374331,0.536,0.5146666666666667,0.5123251165889408,0.5004995004995005,0.4995838188779757,3,2503,2282,0.7725308641975308,0.6965811965811965,0.5375,0.3925,0.9953703703703703,0.7188644688644689,13,True
6007,3403,799,1851,8,6000,2,40,13,400,165,159,6000,3000,0.4385026737967914,0.44533333333333336,0.4666666666666667,0.4876748834110593,0.5068265068265069,0.49941734642916596,1,2504,2324,0.7728395061728395,0.7094017094017094,0.4125,0.3975,0.7638888888888888,0.728021978021978,13,True
6007,2660,5778,1902,8,6000,2,40,13,400,166,143,6000,3000,0.4385026737967914,0.48,0.49066666666666664,0.4950033311125916,0.5058275058275058,0.49941734642916596,1,2538,2264,0.7833333333333333,0.6910866910866911,0.415,0.3575,0.7685185185185185,0.6547619047619048,13,True
6007,4471,4983,1990,8,6000,2,40,13,400,181,151,6000,3000,0.47058823529411764,0.504,0.5093333333333333,0.5103264490339774,0.5071595071595072,0.49941734642916596,1,2492,2403,0.7691358024691358,0.7335164835164835,0.4525,0.3775,0.8379629629629629,0.6913919413919414,13,True
6007,2161,4322,2113,8,6000,2,40,13,400,164,161,6000,3000,0.5026737967914439,0.536,0.5146666666666667,0.4990006662225183,0.5028305028305028,0.49941734642916596,1,2539,2384,0.783641975308642,0.7277167277167277,0.41,0.4025,0.7592592592592593,0.7371794871794872,13,True
6007,1516,3032,2126,8,6000,2,40,13,400,174,157,6000,3001,0.45454545454545453,0.48,0.47733333333333333,0.4830113257828115,0.48984348984348985,0.4995838188779757,3,2473,2461,0.7632716049382716,0.7512210012210012,0.435,0.3925,0.8055555555555556,0.7188644688644689,13,True
6007,905,1810,2142,8,6000,2,40,13,400,160,171,6000,3000,0.49732620320855614,0.512,0.524,0.5156562291805463,0.49683649683649683,0.49941734642916596,1,2406,2426,0.7425925925925926,0.7405372405372406,0.4,0.4275,0.7407407407407407,0.782967032967033,13,True
6007,3000,6000,2171,8,6000,2,40,13,400,162,129,6000,3000,0.5187165775401069,0.5173333333333333,0.5226666666666666,0.49633577614923385,0.4985014985014985,0.49941734642916596,1,2488,2088,0.7679012345679013,0.6373626373626373,0.405,0.3225,0.75,0.5906593406593407,13,True
6007,4951,5303,2195,8,6000,2,40,13,400,150,178,6000,3001,0.45454545454545453,0.47733333333333333,0.47733333333333333,0.48567621585609594,0.48884448884448883,0.4995838188779757,3,2399,2418,0.7404320987654321,0.7380952380952381,0.375,0.445,0.6944444444444444,0.815018315018315,13,True
6007,1787,3574,2199,8,6000,2,40,13,400,175,162,6000,3001,0.44385026737967914,0.4613333333333333,0.48133333333333334,0.5009993337774816,0.5031635031635031,0.4995838188779757,3,2557,2332,0.7891975308641975,0.7118437118437119,0.4375,0.405,0.8101851851851852,0.7417582417582418,13,True
6007,5501,1665,2216,8,6000,2,40,13,400,156,162,6000,3000,0.44919786096256686,0.4613333333333333,0.49866666666666665,0.49300466355762823,0.4988344988344988,0.49941734642916596,1,2580,2370,0.7962962962962963,0.7234432234432234,0.39,0.405,0.7222222222222222,0.7417582417582418,13,True
6007,5658,5309,2246,8,6000,2,40,13,400,179,154,6000,3001,0.5240641711229946,0.49066666666666664,0.48133333333333334,0.4756828780812791,0.49916749916749914,0.4995838188779757,3,2453,2330,0.7570987654320988,0.7112332112332113,0.4475,0.385,0.8287037037037037,0.7051282051282052,13,True
6007,2968,5936,2270,8,6000,2,40,13,400,169,163,6000,3000,0.5080213903743316,0.5306666666666666,0.5066666666666667,0.5163224516988674,0.4988344988344988,0.49941734642916596,1,2530,2392,0.7808641975308642,0.7301587301587301,0.4225,0.4075,0.7824074074074074,0.7463369963369964,13,True
6007,1640,3280,2309,8,6000,2,40,13,400,163,168,6000,3001,0.48128342245989303,0.48,0.47733333333333333,0.4810126582278481,0.4831834831834832,0.4995838188779757,3,2493,2412,0.7694444444444445,0.7362637362637363,0.4075,0.42,0.7546296296296297,0.7692307692307693,13,True
6007,3962,639,2313,8,6000,2,40,13,400,155,155,6000,3000,0.4919786096256685,0.512,0.49466666666666664,0.4890073284477015,0.49783549783549785,0.49941734642916596,1,2496,2222,0.7703703703703704,0.6782661782661783,0.3875,0.3875,0.7175925925925926,0.7097069597069597,13,True
6007,2172,4344,2346,8,6000,2,40,13,400,167,168,6000,3001,0.4385026737967914,0.488,0.5013333333333333,0.5049966688874084,0.5028305028305028,0.4995838188779757,3,2489,2433,0.7682098765432098,0.7426739926739927,0.4175,0.42,0.7731481481481481,0.7692307692307693,13,True
6007,2935,5870,2418,8,6000,2,40,13,400,163,159,6000,3000,0.47058823529411764,0.4666666666666667,0.4866666666666667,0.49700199866755496,0.5051615051615052,0.49941734642916596,1,2503,2408,0.7725308641975308,0.7350427350427351,0.4075,0.3975,0.7546296296296297,0.728021978021978,13,True
6007,525,1050,2427,8,6000,2,40,13,400,164,170,6000,3000,0.5026737967914439,0.4666666666666667,0.492,0.4983344437041972,0.49783549783549785,0.49941734642916596,1,2511,2456,0.775,0.7496947496947497,0.41,0.425,0.7592592592592593,0.7783882783882784,13,True
6007,4193,2379,2497,8,6000,2,40,13,400,172,156,6000,3000,0.45454545454545453,0.496,0.488,0.49100599600266487,0.4915084915084915,0.49941734642916596,1,2470,2231,0.7623456790123457,0.681013431013431,0.43,0.39,0.7962962962962963,0.7142857142857143,13,True
6007,1590,3180,2535,8,6000,2,40,13,400,163,158,6000,3000,0.40106951871657753,0.456,0.4786666666666667,0.5103264490339774,0.49983349983349984,0.49941734642916596,1,2534,2444,0.7820987654320988,0.746031746031746,0.4075,0.395,0.7546296296296297,0.7234432234432234,13,True
6007,5607,3738,2543,8,6000,2,40,13,400,172,163,6000,3000,0.48663101604278075,0.488,0.5,0.4943371085942705,0.5001665001665002,0.49941734642916596,1,2518,2286,0.7771604938271605,0.6978021978021978,0.43,0.4075,0.7962962962962963,0.7463369963369964,13,True
6007,2634,5268,2557,8,6000,2,40,13,400,164,123,6000,3001,0.48128342245989303,0.49066666666666664,0.49066666666666664,0.48567621585609594,0.4858474858474858,0.4995838188779757,3,2502,1978,0.7722222222222223,0.6037851037851037,0.41,0.3075,0.7592592592592593,0.5631868131868132,13,True
6007,5898,5789,2590,8,6000,2,40,13,400,175,135,6000,3001,0.4919786096256685,0.472,0.49066666666666664,0.5003331112591606,0.5078255078255078,0.4995838188779757,3,2403,2268,0.7416666666666667,0.6923076923076923,0.4375,0.3375,0.8101851851851852,0.6181318681318682,13,True
6007,2743,5486,2661,8,6000,2,40,13,400,155,165,6000,3001,0.4385026737967914,0.488,0.496,0.5223184543637575,0.5014985014985015,0.4995838188779757,3,2497,2284,0.770679012345679,0.6971916971916972,0.3875,0.4125,0.7175925925925926,0.7554945054945055,13,True
