[sig7 20:00:38] staircase cols 389197..394197 k=0 rank=265003 fill=0.1 red=105.2 ech=0.3
[sig7 20:02:25] staircase cols 394197..399197 k=0 rank=265003 fill=0.0 red=105.2 ech=0.5
[sig7 20:04:13] staircase cols 399197..404197 k=0 rank=265003 fill=0.0 red=107.1 ech=0.4
[sig7 20:06:00] staircase cols 404197..409197 k=0 rank=265003 fill=0.0 red=105.4 ech=0.4
[sig7 20:07:50] staircase cols 409197..414197 k=0 rank=265003 fill=0.0 red=108.5 ech=0.5
[sig7 20:09:38] staircase cols 414197..419197 k=0 rank=265003 fill=0.0 red=107.4 ech=0.4
[sig7 20:11:27] staircase cols 419197..424197 k=0 rank=265003 fill=0.0 red=107.4 ech=0.5
[sig7 20:13:16] staircase cols 424197..429197 k=0 rank=265003 fill=0.0 red=107.7 ech=0.5
[sig7 20:15:03] staircase cols 429197..434197 k=0 rank=265003 fill=0.0 red=105.6 ech=0.4
[sig7 20:16:55] staircase cols 434197..439197 k=0 rank=265003 fill=0.0 red=110.3 ech=0.4
[sig7 20:18:42] staircase cols 439197..444197 k=0 rank=265003 fill=0.0 red=105.9 ech=0.5
[sig7 20:20:28] staircase cols 444197..449197 k=0 rank=265003 fill=0.0 red=105.1 ech=0.4
[sig7 20:22:22] staircase cols 449197..454197 k=947 rank=265950 fill=0.0 red=105.4 ech=0.5
[sig7 20:24:10] staircase cols 454197..459197 k=0 rank=265950 fill=0.0 red=107.3 ech=0.4
[sig7 20:25:56] staircase cols 459197..464197 k=0 rank=265950 fill=0.0 red=104.8 ech=0.4
[sig7 20:27:44] staircase cols 464197..469197 k=0 rank=265950 fill=0.0 red=106.3 ech=0.5
[sig7 20:29:32] staircase cols 469197..474197 k=0 rank=265950 fill=0.0 red=106.1 ech=0.4
[sig7 20:31:19] staircase cols 474197..479197 k=0 rank=265950 fill=0.0 red=106.0 ech=0.4
[sig7 20:33:05] staircase cols 479197..484197 k=0 rank=265950 fill=0.0 red=104.6 ech=0.5
[sig7 20:34:51] staircase cols 484197..489197 k=0 rank=265950 fill=0.0 red=104.7 ech=0.4
[sig7 20:36:38] staircase cols 489197..494197 k=0 rank=265950 fill=0.0 red=106.1 ech=0.5
[sig7 20:38:26] staircase cols 494197..499197 k=0 rank=265950 fill=0.0 red=106.0 ech=0.5
[sig7 20:40:16] staircase cols 499197..504197 k=0 rank=265950 fill=0.0 red=109.5 ech=0.4
[sig7 20:42:04] staircase cols 504197..509197 k=0 rank=265950 fill=0.0 red=105.8 ech=0.4
[sig7 20:43:48] staircase cols 509197..514197 k=0 rank=265950 fill=0.0 red=103.6 ech=0.5
[sig7 20:45:34] staircase cols 514197..519197 k=0 rank=265950 fill=0.0 red=104.5 ech=0.4
[sig7 20:47:20] staircase cols 519197..524197 k=0 rank=265950 fill=0.0 red=104.2 ech=0.4
[sig7 20:49:05] staircase cols 524197..529197 k=0 rank=265950 fill=0.0 red=103.9 ech=0.4
[sig7 20:50:51] staircase cols 529197..534197 k=0 rank=265950 fill=0.0 red=104.1 ech=0.4
[sig7 20:52:37] staircase cols 534197..539197 k=0 rank=265950 fill=0.0 red=104.9 ech=0.5
[sig7 20:54:23] staircase cols 539197..544197 k=0 rank=265950 fill=0.0 red=104.8 ech=0.4
[sig7 20:54:23] rank5 n=21 s=1: censored_budget_checkpointed rank_acc=265950 cols=544197/778394 work=3319s
wrote experiments/EXP-SIG-007/fires/fire_007/raw.json (3627.4s)
