[sig7 08:30:39] staircase cols 375000..380000 k=0 rank=259969 fill=0.1 red=102.8 ech=0.3
[sig7 08:32:54] staircase cols 380000..385000 k=3611 rank=263580 fill=0.0 red=102.7 ech=0.9
[sig7 08:35:00] staircase cols 385000..390000 k=2370 rank=265950 fill=0.0 red=104.9 ech=0.7
[sig7 08:36:48] staircase cols 390000..395000 k=0 rank=265950 fill=0.0 red=106.2 ech=0.4
[sig7 08:38:36] staircase cols 395000..400000 k=0 rank=265950 fill=0.0 red=107.5 ech=0.4
[sig7 08:40:25] staircase cols 400000..405000 k=0 rank=265950 fill=0.0 red=107.8 ech=0.4
[sig7 08:42:16] staircase cols 405000..410000 k=0 rank=265950 fill=0.0 red=109.5 ech=0.4
[sig7 08:44:07] staircase cols 410000..415000 k=0 rank=265950 fill=0.0 red=109.7 ech=0.4
[sig7 08:45:54] staircase cols 415000..420000 k=0 rank=265950 fill=0.0 red=105.7 ech=0.3
[sig7 08:47:42] staircase cols 420000..425000 k=0 rank=265950 fill=0.0 red=107.0 ech=0.3
[sig7 08:49:35] staircase cols 425000..430000 k=0 rank=265950 fill=0.0 red=112.2 ech=0.5
[sig7 08:51:34] staircase cols 430000..435000 k=0 rank=265950 fill=0.0 red=117.1 ech=0.4
[sig7 08:53:32] staircase cols 435000..440000 k=0 rank=265950 fill=0.0 red=117.4 ech=0.4
[sig7 08:55:28] staircase cols 440000..445000 k=0 rank=265950 fill=0.0 red=114.4 ech=0.4
[sig7 08:57:25] staircase cols 445000..450000 k=0 rank=265950 fill=0.0 red=115.7 ech=0.4
[sig7 08:59:27] staircase cols 450000..455000 k=0 rank=265950 fill=0.0 red=120.8 ech=0.4
[sig7 09:01:28] staircase cols 455000..460000 k=0 rank=265950 fill=0.0 red=119.3 ech=0.5
[sig7 09:03:30] staircase cols 460000..465000 k=0 rank=265950 fill=0.0 red=120.5 ech=0.5
[sig7 09:05:31] staircase cols 465000..470000 k=0 rank=265950 fill=0.0 red=119.6 ech=0.6
[sig7 09:07:36] staircase cols 470000..475000 k=0 rank=265950 fill=0.0 red=123.8 ech=0.5
[sig7 09:09:30] staircase cols 475000..480000 k=0 rank=265950 fill=0.0 red=112.2 ech=0.4
[sig7 09:11:27] staircase cols 480000..485000 k=0 rank=265950 fill=0.0 red=116.4 ech=0.5
[sig7 09:13:32] staircase cols 485000..490000 k=0 rank=265950 fill=0.0 red=123.2 ech=0.5
