# table 0 of complete.html -- 1 rows; EMPTY CELLS ARE PRESERVED as empty fields
SafeCurves:choosing safe curves for elliptic-curve cryptography

# table 1 of complete.html -- 1 rows; EMPTY CELLS ARE PRESERVED as empty fields
Introduction

# table 2 of complete.html -- 5 rows; EMPTY CELLS ARE PRESERVED as empty fields
Curve parameters:
Fields
Equations
Base points
Prime proofs

# table 3 of complete.html -- 5 rows; EMPTY CELLS ARE PRESERVED as empty fields
ECDLP security:
Rho
Transfers
Discriminants
Rigidity

# table 4 of complete.html -- 5 rows; EMPTY CELLS ARE PRESERVED as empty fields
ECC security:
Ladders
Twists
Completeness
Indistinguishability

# table 5 of complete.html -- 3 rows; EMPTY CELLS ARE PRESERVED as empty fields
More information:
References
Verification

# table 6 of complete.html -- 21 rows; EMPTY CELLS ARE PRESERVED as empty fields
Curve	Complete single-scalar formulas?	Complete multi-scalar formulas?	Number of points of order 2	Number of points of order 4
Anomalous	False	False	0	0
M-221	True✔	True✔	1	2
E-222	True✔	True✔	1	2
NIST P-224	False	False	0	0
Curve1174	True✔	True✔	1	2
Curve25519	True✔	True✔	1	2
BN(2,254)	False	False	0	0
brainpoolP256t1	False	False	0	0
ANSSI FRP256v1	False	False	0	0
NIST P-256	False	False	0	0
secp256k1	False	False	0	0
E-382	True✔	True✔	1	2
M-383	True✔	True✔	1	2
Curve383187	True✔	True✔	1	2
brainpoolP384t1	False	False	0	0
NIST P-384	False	False	0	0
Curve41417	True✔	True✔	1	2
Ed448-Goldilocks	True✔	True✔	1	2
M-511	True✔	True✔	1	2
E-521	True✔	True✔	1	2
