# table 0 of rho.html -- 1 rows; EMPTY CELLS ARE PRESERVED as empty fields
SafeCurves:choosing safe curves for elliptic-curve cryptography

# table 1 of rho.html -- 1 rows; EMPTY CELLS ARE PRESERVED as empty fields
Introduction

# table 2 of rho.html -- 5 rows; EMPTY CELLS ARE PRESERVED as empty fields
Curve parameters:
Fields
Equations
Base points
Prime proofs

# table 3 of rho.html -- 5 rows; EMPTY CELLS ARE PRESERVED as empty fields
ECDLP security:
Rho
Transfers
Discriminants
Rigidity

# table 4 of rho.html -- 5 rows; EMPTY CELLS ARE PRESERVED as empty fields
ECC security:
Ladders
Twists
Completeness
Indistinguishability

# table 5 of rho.html -- 3 rows; EMPTY CELLS ARE PRESERVED as empty fields
More information:
References
Verification

# table 6 of rho.html -- 21 rows; EMPTY CELLS ARE PRESERVED as empty fields
Curve	Cost for rho above 2^100?	Cost for rho
Anomalous	True✔	2^101.6
M-221	True✔	2^108.8
E-222	True✔	2^109.8
NIST P-224	True✔	2^111.8
Curve1174	True✔	2^124.3
Curve25519	True✔	2^125.8
BN(2,254)	True✔	2^126.4
brainpoolP256t1	True✔	2^127.5
ANSSI FRP256v1	True✔	2^127.8
NIST P-256	True✔	2^127.8
secp256k1	True✔	2^127.8
E-382	True✔	2^189.8
M-383	True✔	2^189.8
Curve383187	True✔	2^189.8
brainpoolP384t1	True✔	2^191.4
NIST P-384	True✔	2^191.8
Curve41417	True✔	2^205.3
Ed448-Goldilocks	True✔	2^222.8
M-511	True✔	2^253.8
E-521	True✔	2^259.3
